K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,6,5): fitness => -6.98

K = 8, Run (1,7,1): fitness => -6.98
K = 8, Run (1,7,2): fitness => -6.98
K = 8, Run (1,7,3): fitness => -6.98
K = 8, Run (1,7,4): fitness => -6.98
K = 8, Run (1,7,5): fitness => -6.98

K = 8, Run (1,8,1): fitness => -6.98
K = 8, Run (1,8,2): fitness => -6.98
K = 8, Run (1,8,3): fitness => -6.98
K = 8, Run (1,8,4): fitness => -6.98
K = 8, Run (1,8,5): fitness => -6.98

K = 8, Run (1,9,1): fitness => -6.98
K = 8, Run (1,9,2): fitness => -6.98
K = 8, Run (1,9,3): fitness => -6.98
K = 8, Run (1,9,4): fitness => -6.98
K = 8, Run (1,9,5): fitness => -6.98

K = 8, Run (1,10,1): fitness => -6.98
K = 8, Run (1,10,2): fitness => -6.98
K = 8, Run (1,10,3): fitness => -6.98
K = 8, Run (1,10,4): fitness => -6.98
K = 8, Run (1,10,5): fitness => -6.98

K = 8, Run (2,1,1): fitness => -7.00
K = 8, Run (2,1,2): fitness => -6.91
K = 8, Run (2,1,3): fitness => -6.84
K = 8, Run (2,1,4): fitness => -6.79
K = 8, Run (2,1,5): fitness => -6.76

K = 8, Run (2,2,1): fitness => -6.89
K = 8, Run (2,2,2): fitness => -6.84
K = 8, Run (2,2,3): fitness => -6.79
K = 8, Run (2,2,4): fitness => -6.76
K = 8, Run (2,2,5): fitness => -6.76

K = 8, Run (2,3,1): fitness => -6.82
K = 8, Run (2,3,2): fitness => -6.78
K = 8, Run (2,3,3): fitness => -6.76
K = 8, Run (2,3,4): fitness => -6.76
K = 8, Run (2,3,5): fitness => -6.76

K = 8, Run (2,4,1): fitness => -6.76
K = 8, Run (2,4,2): fitness => -6.76
K = 8, Run (2,4,3): fitness => -6.76
K = 8, Run (2,4,4): fitness => -6.76
K = 8, Run (2,4,5): fitness => -6.76

K = 8, Run (2,5,1): fitness => -6.76
K = 8, Run (2,5,2): fitness => -6.76
K = 8, Run (2,5,3): fitness => -6.76
K = 8, Run (2,5,4): fitness => -6.76
K = 8, Run (2,5,5): fitness => -6.76

K = 8, Run (2,6,1): fitness => -6.76
K = 8, Run (2,6,2): fitness => -6.76
K = 8, Run (2,6,3): fitness => -6.76
K = 8, Run (2,6,4): fitness => -6.76
K = 8, Run (2,6,5): fitness => -6.76

K = 8, Run (2,7,1): fitness => -6.76
K = 8, Run (2,7,2): fitness => -6.76
K = 8, Run (2,7,3): fitness => -6.76
K = 8, Run (2,7,4): fitness => -6.76
K = 8, Run (2,7,5): fitness => -6.76

K = 8, Run (2,8,1): fitness => -6.76
K = 8, Run (2,8,2): fitness => -6.76
K = 8, Run (2,8,3): fitness => -6.76
K = 8, Run (2,8,4): fitness => -6.76
K = 8, Run (2,8,5): fitness => -6.76

K = 8, Run (2,9,1): fitness => -6.76
K = 8, Run (2,9,2): fitness => -6.76
K = 8, Run (2,9,3): fitness => -6.76
K = 8, Run (2,9,4): fitness => -6.76
K = 8, Run (2,9,5): fitness => -6.76

K = 8, Run (2,10,1): fitness => -6.76
K = 8, Run (2,10,2): fitness => -6.76
K = 8, Run (2,10,3): fitness => -6.76
K = 8, Run (2,10,4): fitness => -6.76
K = 8, Run (2,10,5): fitness => -6.76

#-6.76

real	0m1.115s
user	0m0.998s
sys	0m0.074s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.05
K = 8, Run (1,1,2): fitness => -7.00
K = 8, Run (1,1,3): fitness => -6.96
K = 8, Run (1,1,4): fitness => -6.94
K = 8, Run (1,1,5): fitness => -6.92

K = 8, Run (1,2,1): fitness => -6.99
K = 8, Run (1,2,2): fitness => -6.97
K = 8, Run (1,2,3): fitness => -6.94
K = 8, Run (1,2,4): fitness => -6.92
K = 8, Run (1,2,5): fitness => -6.92

K = 8, Run (1,3,1): fitness => -6.95
K = 8, Run (1,3,2): fitness => -6.93
K = 8, Run (1,3,3): fitness => -6.92
K = 8, Run (1,3,4): fitness => -6.92
K = 8, Run (1,3,5): fitness => -6.92

K = 8, Run (1,4,1): fitness => -6.92
K = 8, Run (1,4,2): fitness => -6.92
K = 8, Run (1,4,3): fitness => -6.92
K = 8, Run (1,4,4): fitness => -6.92
K = 8, Run (1,4,5): fitness => -6.92

K = 8, Run (1,5,1): fitness => -6.92
K = 8, Run (1,5,2): fitness => -6.92
K = 8, Run (1,5,3): fitness => -6.92
K = 8, Run (1,5,4): fitness => -6.92
K = 8, Run (1,5,5): fitness => -6.92

K = 8, Run (1,6,1): fitness => -6.92
K = 8, Run (1,6,2): fitness => -6.92
K = 8, Run (1,6,3): fitness => -6.92
K = 8, Run (1,6,4): fitness => -6.92
K = 8, Run (1,6,5): fitness => -6.92

K = 8, Run (1,7,1): fitness => -6.92
K = 8, Run (1,7,2): fitness => -6.92
K = 8, Run (1,7,3): fitness => -6.92
K = 8, Run (1,7,4): fitness => -6.92
K = 8, Run (1,7,5): fitness => -6.92

K = 8, Run (1,8,1): fitness => -6.92
K = 8, Run (1,8,2): fitness => -6.92
K = 8, Run (1,8,3): fitness => -6.92
K = 8, Run (1,8,4): fitness => -6.92
K = 8, Run (1,8,5): fitness => -6.92

K = 8, Run (1,9,1): fitness => -6.92
K = 8, Run (1,9,2): fitness => -6.92
K = 8, Run (1,9,3): fitness => -6.92
K = 8, Run (1,9,4): fitness => -6.92
K = 8, Run (1,9,5): fitness => -6.92

K = 8, Run (1,10,1): fitness => -6.92
K = 8, Run (1,10,2): fitness => -6.92
K = 8, Run (1,10,3): fitness => -6.92
K = 8, Run (1,10,4): fitness => -6.92
K = 8, Run (1,10,5): fitness => -6.92

K = 8, Run (2,1,1): fitness => -7.00
K = 8, Run (2,1,2): fitness => -6.91
K = 8, Run (2,1,3): fitness => -6.82
K = 8, Run (2,1,4): fitness => -6.77
K = 8, Run (2,1,5): fitness => -6.71

K = 8, Run (2,2,1): fitness => -6.90
K = 8, Run (2,2,2): fitness => -6.83
K = 8, Run (2,2,3): fitness => -6.77
K = 8, Run (2,2,4): fitness => -6.71
K = 8, Run (2,2,5): fitness => -6.71

K = 8, Run (2,3,1): fitness => -6.80
K = 8, Run (2,3,2): fitness => -6.74
K = 8, Run (2,3,3): fitness => -6.71
K = 8, Run (2,3,4): fitness => -6.71
K = 8, Run (2,3,5): fitness => -6.71

K = 8, Run (2,4,1): fitness => -6.71
K = 8, Run (2,4,2): fitness => -6.71
K = 8, Run (2,4,3): fitness => -6.71
K = 8, Run (2,4,4): fitness => -6.71
K = 8, Run (2,4,5): fitness => -6.71

K = 8, Run (2,5,1): fitness => -6.71
K = 8, Run (2,5,2): fitness => -6.71
K = 8, Run (2,5,3): fitness => -6.71
K = 8, Run (2,5,4): fitness => -6.71
K = 8, Run (2,5,5): fitness => -6.71

K = 8, Run (2,6,1): fitness => -6.71
K = 8, Run (2,6,2): fitness => -6.71
K = 8, Run (2,6,3): fitness => -6.71
K = 8, Run (2,6,4): fitness => -6.71
K = 8, Run (2,6,5): fitness => -6.71

K = 8, Run (2,7,1): fitness => -6.71
K = 8, Run (2,7,2): fitness => -6.71
K = 8, Run (2,7,3): fitness => -6.71
K = 8, Run (2,7,4): fitness => -6.71
K = 8, Run (2,7,5): fitness => -6.71

K = 8, Run (2,8,1): fitness => -6.71
K = 8, Run (2,8,2): fitness => -6.71
K = 8, Run (2,8,3): fitness => -6.71
K = 8, Run (2,8,4): fitness => -6.71
K = 8, Run (2,8,5): fitness => -6.71

K = 8, Run (2,9,1): fitness => -6.71
K = 8, Run (2,9,2): fitness => -6.71
K = 8, Run (2,9,3): fitness => -6.71
K = 8, Run (2,9,4): fitness => -6.71
K = 8, Run (2,9,5): fitness => -6.71

K = 8, Run (2,10,1): fitness => -6.71
K = 8, Run (2,10,2): fitness => -6.71
K = 8, Run (2,10,3): fitness => -6.71
K = 8, Run (2,10,4): fitness => -6.71
K = 8, Run (2,10,5): fitness => -6.71

#-6.71

real	0m1.237s
user	0m1.065s
sys	0m0.076s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -6.97
K = 8, Run (1,1,2): fitness => -6.87
K = 8, Run (1,1,3): fitness => -6.79
K = 8, Run (1,1,4): fitness => -6.75
K = 8, Run (1,1,5): fitness => -6.72

K = 8, Run (1,2,1): fitness => -6.85
K = 8, Run (1,2,2): fitness => -6.80
K = 8, Run (1,2,3): fitness => -6.75
K = 8, Run (1,2,4): fitness => -6.72
K = 8, Run (1,2,5): fitness => -6.72

K = 8, Run (1,3,1): fitness => -6.78
K = 8, Run (1,3,2): fitness => -6.73
K = 8, Run (1,3,3): fitness => -6.72
K = 8, Run (1,3,4): fitness => -6.72
K = 8, Run (1,3,5): fitness => -6.72

K = 8, Run (1,4,1): fitness => -6.72
K = 8, Run (1,4,2): fitness => -6.72
K = 8, Run (1,4,3): fitness => -6.72
K = 8, Run (1,4,4): fitness => -6.72
K = 8, Run (1,4,5): fitness => -6.72

K = 8, Run (1,5,1): fitness => -6.72
K = 8, Run (1,5,2): fitness => -6.72
K = 8, Run (1,5,3): fitness => -6.72
K = 8, Run (1,5,4): fitness => -6.72
K = 8, Run (1,5,5): fitness => -6.72

K = 8, Run (1,6,1): fitness => -6.72
K = 8, Run (1,6,2): fitness => -6.72
K = 8, Run (1,6,3): fitness => -6.72
K = 8, Run (1,6,4): fitness => -6.72
K = 8, Run (1,6,5): fitness => -6.72

K = 8, Run (1,7,1): fitness => -6.72
K = 8, Run (1,7,2): fitness => -6.72
K = 8, Run (1,7,3): fitness => -6.72
K = 8, Run (1,7,4): fitness => -6.72
K = 8, Run (1,7,5): fitness => -6.72

K = 8, Run (1,8,1): fitness => -6.72
K = 8, Run (1,8,2): fitness => -6.72
K = 8, Run (1,8,3): fitness => -6.72
K = 8, Run (1,8,4): fitness => -6.72
K = 8, Run (1,8,5): fitness => -6.72

K = 8, Run (1,9,1): fitness => -6.72
K = 8, Run (1,9,2): fitness => -6.72
K = 8, Run (1,9,3): fitness => -6.72
K = 8, Run (1,9,4): fitness => -6.72
K = 8, Run (1,9,5): fitness => -6.72

K = 8, Run (1,10,1): fitness => -6.72
K = 8, Run (1,10,2): fitness => -6.72
K = 8, Run (1,10,3): fitness => -6.72
K = 8, Run (1,10,4): fitness => -6.72
K = 8, Run (1,10,5): fitness => -6.72

K = 8, Run (2,1,1): fitness => -7.14
K = 8, Run (2,1,2): fitness => -7.10
K = 8, Run (2,1,3): fitness => -7.07
K = 8, Run (2,1,4): fitness => -7.05
K = 8, Run (2,1,5): fitness => -7.04

K = 8, Run (2,2,1): fitness => -7.08
K = 8, Run (2,2,2): fitness => -7.06
K = 8, Run (2,2,3): fitness => -7.05
K = 8, Run (2,2,4): fitness => -7.04
K = 8, Run (2,2,5): fitness => -7.04

K = 8, Run (2,3,1): fitness => -7.06
K = 8, Run (2,3,2): fitness => -7.05
K = 8, Run (2,3,3): fitness => -7.04
K = 8, Run (2,3,4): fitness => -7.04
K = 8, Run (2,3,5): fitness => -7.04

K = 8, Run (2,4,1): fitness => -7.04
K = 8, Run (2,4,2): fitness => -7.04
K = 8, Run (2,4,3): fitness => -7.04
K = 8, Run (2,4,4): fitness => -7.04
K = 8, Run (2,4,5): fitness => -7.04

K = 8, Run (2,5,1): fitness => -7.04
K = 8, Run (2,5,2): fitness => -7.04
K = 8, Run (2,5,3): fitness => -7.04
K = 8, Run (2,5,4): fitness => -7.04
K = 8, Run (2,5,5): fitness => -7.04

K = 8, Run (2,6,1): fitness => -7.04
K = 8, Run (2,6,2): fitness => -7.04
K = 8, Run (2,6,3): fitness => -7.04
K = 8, Run (2,6,4): fitness => -7.04
K = 8, Run (2,6,5): fitness => -7.04

K = 8, Run (2,7,1): fitness => -7.04
K = 8, Run (2,7,2): fitness => -7.04
K = 8, Run (2,7,3): fitness => -7.04
K = 8, Run (2,7,4): fitness => -7.04
K = 8, Run (2,7,5): fitness => -7.04

K = 8, Run (2,8,1): fitness => -7.04
K = 8, Run (2,8,2): fitness => -7.04
K = 8, Run (2,8,3): fitness => -7.04
K = 8, Run (2,8,4): fitness => -7.04
K = 8, Run (2,8,5): fitness => -7.04

K = 8, Run (2,9,1): fitness => -7.04
K = 8, Run (2,9,2): fitness => -7.04
K = 8, Run (2,9,3): fitness => -7.04
K = 8, Run (2,9,4): fitness => -7.04
K = 8, Run (2,9,5): fitness => -7.04

K = 8, Run (2,10,1): fitness => -7.04
K = 8, Run (2,10,2): fitness => -7.04
K = 8, Run (2,10,3): fitness => -7.04
K = 8, Run (2,10,4): fitness => -7.04
K = 8, Run (2,10,5): fitness => -7.04

#-6.72

real	0m1.042s
user	0m0.913s
sys	0m0.073s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.22
K = 8, Run (1,1,2): fitness => -7.17
K = 8, Run (1,1,3): fitness => -7.13
K = 8, Run (1,1,4): fitness => -7.11
K = 8, Run (1,1,5): fitness => -7.10

K = 8, Run (1,2,1): fitness => -7.15
K = 8, Run (1,2,2): fitness => -7.13
K = 8, Run (1,2,3): fitness => -7.11
K = 8, Run (1,2,4): fitness => -7.10
K = 8, Run (1,2,5): fitness => -7.10

K = 8, Run (1,3,1): fitness => -7.12
K = 8, Run (1,3,2): fitness => -7.10
K = 8, Run (1,3,3): fitness => -7.10
K = 8, Run (1,3,4): fitness => -7.10
K = 8, Run (1,3,5): fitness => -7.10

K = 8, Run (1,4,1): fitness => -7.10
K = 8, Run (1,4,2): fitness => -7.10
K = 8, Run (1,4,3): fitness => -7.10
K = 8, Run (1,4,4): fitness => -7.10
K = 8, Run (1,4,5): fitness => -7.10

K = 8, Run (1,5,1): fitness => -7.10
K = 8, Run (1,5,2): fitness => -7.10
K = 8, Run (1,5,3): fitness => -7.10
K = 8, Run (1,5,4): fitness => -7.10
K = 8, Run (1,5,5): fitness => -7.10

K = 8, Run (1,6,1): fitness => -7.10
K = 8, Run (1,6,2): fitness => -7.10
K = 8, Run (1,6,3): fitness => -7.10
K = 8, Run (1,6,4): fitness => -7.10
K = 8, Run (1,6,5): fitness => -7.10

K = 8, Run (1,7,1): fitness => -7.10
K = 8, Run (1,7,2): fitness => -7.10
K = 8, Run (1,7,3): fitness => -7.10
K = 8, Run (1,7,4): fitness => -7.10
K = 8, Run (1,7,5): fitness => -7.10

K = 8, Run (1,8,1): fitness => -7.10
K = 8, Run (1,8,2): fitness => -7.10
K = 8, Run (1,8,3): fitness => -7.10
K = 8, Run (1,8,4): fitness => -7.10
K = 8, Run (1,8,5): fitness => -7.10

K = 8, Run (1,9,1): fitness => -7.10
K = 8, Run (1,9,2): fitness => -7.10
K = 8, Run (1,9,3): fitness => -7.10
K = 8, Run (1,9,4): fitness => -7.10
K = 8, Run (1,9,5): fitness => -7.10

K = 8, Run (1,10,1): fitness => -7.10
K = 8, Run (1,10,2): fitness => -7.10
K = 8, Run (1,10,3): fitness => -7.10
K = 8, Run (1,10,4): fitness => -7.10
K = 8, Run (1,10,5): fitness => -7.10

K = 8, Run (2,1,1): fitness => -7.16
K = 8, Run (2,1,2): fitness => -7.09
K = 8, Run (2,1,3): fitness => -7.02
K = 8, Run (2,1,4): fitness => -6.99
K = 8, Run (2,1,5): fitness => -6.97

K = 8, Run (2,2,1): fitness => -7.05
K = 8, Run (2,2,2): fitness => -7.02
K = 8, Run (2,2,3): fitness => -6.99
K = 8, Run (2,2,4): fitness => -6.97
K = 8, Run (2,2,5): fitness => -6.97

K = 8, Run (2,3,1): fitness => -7.01
K = 8, Run (2,3,2): fitness => -6.98
K = 8, Run (2,3,3): fitness => -6.97
K = 8, Run (2,3,4): fitness => -6.97
K = 8, Run (2,3,5): fitness => -6.97

K = 8, Run (2,4,1): fitness => -6.97
K = 8, Run (2,4,2): fitness => -6.97
K = 8, Run (2,4,3): fitness => -6.97
K = 8, Run (2,4,4): fitness => -6.97
K = 8, Run (2,4,5): fitness => -6.97

K = 8, Run (2,5,1): fitness => -6.97
K = 8, Run (2,5,2): fitness => -6.97
K = 8, Run (2,5,3): fitness => -6.97
K = 8, Run (2,5,4): fitness => -6.97
K = 8, Run (2,5,5): fitness => -6.97

K = 8, Run (2,6,1): fitness => -6.97
K = 8, Run (2,6,2): fitness => -6.97
K = 8, Run (2,6,3): fitness => -6.97
K = 8, Run (2,6,4): fitness => -6.97
K = 8, Run (2,6,5): fitness => -6.97

K = 8, Run (2,7,1): fitness => -6.97
K = 8, Run (2,7,2): fitness => -6.97
K = 8, Run (2,7,3): fitness => -6.97
K = 8, Run (2,7,4): fitness => -6.97
K = 8, Run (2,7,5): fitness => -6.97

K = 8, Run (2,8,1): fitness => -6.97
K = 8, Run (2,8,2): fitness => -6.97
K = 8, Run (2,8,3): fitness => -6.97
K = 8, Run (2,8,4): fitness => -6.97
K = 8, Run (2,8,5): fitness => -6.97

K = 8, Run (2,9,1): fitness => -6.97
K = 8, Run (2,9,2): fitness => -6.97
K = 8, Run (2,9,3): fitness => -6.97
K = 8, Run (2,9,4): fitness => -6.97
K = 8, Run (2,9,5): fitness => -6.97

K = 8, Run (2,10,1): fitness => -6.97
K = 8, Run (2,10,2): fitness => -6.97
K = 8, Run (2,10,3): fitness => -6.97
K = 8, Run (2,10,4): fitness => -6.97
K = 8, Run (2,10,5): fitness => -6.97

#-6.97

real	0m1.001s
user	0m0.906s
sys	0m0.068s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.12
K = 8, Run (1,1,2): fitness => -7.03
K = 8, Run (1,1,3): fitness => -6.95
K = 8, Run (1,1,4): fitness => -6.90
K = 8, Run (1,1,5): fitness => -6.89

K = 8, Run (1,2,1): fitness => -7.00
K = 8, Run (1,2,2): fitness => -6.94
K = 8, Run (1,2,3): fitness => -6.90
K = 8, Run (1,2,4): fitness => -6.89
K = 8, Run (1,2,5): fitness => -6.89

K = 8, Run (1,3,1): fitness => -6.92
K = 8, Run (1,3,2): fitness => -6.89
K = 8, Run (1,3,3): fitness => -6.89
K = 8, Run (1,3,4): fitness => -6.89
K = 8, Run (1,3,5): fitness => -6.89

K = 8, Run (1,4,1): fitness => -6.89
K = 8, Run (1,4,2): fitness => -6.89
K = 8, Run (1,4,3): fitness => -6.89
K = 8, Run (1,4,4): fitness => -6.89
K = 8, Run (1,4,5): fitness => -6.89

K = 8, Run (1,5,1): fitness => -6.89
K = 8, Run (1,5,2): fitness => -6.89
K = 8, Run (1,5,3): fitness => -6.89
K = 8, Run (1,5,4): fitness => -6.89
K = 8, Run (1,5,5): fitness => -6.89

K = 8, Run (1,6,1): fitness => -6.89
K = 8, Run (1,6,2): fitness => -6.89
K = 8, Run (1,6,3): fitness => -6.89
K = 8, Run (1,6,4): fitness => -6.89
K = 8, Run (1,6,5): fitness => -6.89

K = 8, Run (1,7,1): fitness => -6.89
K = 8, Run (1,7,2): fitness => -6.89
K = 8, Run (1,7,3): fitness => -6.89
K = 8, Run (1,7,4): fitness => -6.89
K = 8, Run (1,7,5): fitness => -6.89

K = 8, Run (1,8,1): fitness => -6.89
K = 8, Run (1,8,2): fitness => -6.89
K = 8, Run (1,8,3): fitness => -6.89
K = 8, Run (1,8,4): fitness => -6.89
K = 8, Run (1,8,5): fitness => -6.89

K = 8, Run (1,9,1): fitness => -6.89
K = 8, Run (1,9,2): fitness => -6.89
K = 8, Run (1,9,3): fitness => -6.89
K = 8, Run (1,9,4): fitness => -6.89
K = 8, Run (1,9,5): fitness => -6.89

K = 8, Run (1,10,1): fitness => -6.89
K = 8, Run (1,10,2): fitness => -6.89
K = 8, Run (1,10,3): fitness => -6.89
K = 8, Run (1,10,4): fitness => -6.89
K = 8, Run (1,10,5): fitness => -6.89

K = 8, Run (2,1,1): fitness => -7.25
K = 8, Run (2,1,2): fitness => -7.19
K = 8, Run (2,1,3): fitness => -7.14
K = 8, Run (2,1,4): fitness => -7.14
K = 8, Run (2,1,5): fitness => -7.13

K = 8, Run (2,2,1): fitness => -7.14
K = 8, Run (2,2,2): fitness => -7.14
K = 8, Run (2,2,3): fitness => -7.14
K = 8, Run (2,2,4): fitness => -7.13
K = 8, Run (2,2,5): fitness => -7.13

K = 8, Run (2,3,1): fitness => -7.14
K = 8, Run (2,3,2): fitness => -7.14
K = 8, Run (2,3,3): fitness => -7.13
K = 8, Run (2,3,4): fitness => -7.13
K = 8, Run (2,3,5): fitness => -7.13

K = 8, Run (2,4,1): fitness => -7.13
K = 8, Run (2,4,2): fitness => -7.13
K = 8, Run (2,4,3): fitness => -7.13
K = 8, Run (2,4,4): fitness => -7.13
K = 8, Run (2,4,5): fitness => -7.13

K = 8, Run (2,5,1): fitness => -7.13
K = 8, Run (2,5,2): fitness => -7.13
K = 8, Run (2,5,3): fitness => -7.13
K = 8, Run (2,5,4): fitness => -7.13
K = 8, Run (2,5,5): fitness => -7.13

K = 8, Run (2,6,1): fitness => -7.13
K = 8, Run (2,6,2): fitness => -7.13
K = 8, Run (2,6,3): fitness => -7.13
K = 8, Run (2,6,4): fitness => -7.13
K = 8, Run (2,6,5): fitness => -7.13

K = 8, Run (2,7,1): fitness => -7.13
K = 8, Run (2,7,2): fitness => -7.13
K = 8, Run (2,7,3): fitness => -7.13
K = 8, Run (2,7,4): fitness => -7.13
K = 8, Run (2,7,5): fitness => -7.13

K = 8, Run (2,8,1): fitness => -7.13
K = 8, Run (2,8,2): fitness => -7.13
K = 8, Run (2,8,3): fitness => -7.13
K = 8, Run (2,8,4): fitness => -7.13
K = 8, Run (2,8,5): fitness => -7.13

K = 8, Run (2,9,1): fitness => -7.13
K = 8, Run (2,9,2): fitness => -7.13
K = 8, Run (2,9,3): fitness => -7.13
K = 8, Run (2,9,4): fitness => -7.13
K = 8, Run (2,9,5): fitness => -7.13

K = 8, Run (2,10,1): fitness => -7.13
K = 8, Run (2,10,2): fitness => -7.13
K = 8, Run (2,10,3): fitness => -7.13
K = 8, Run (2,10,4): fitness => -7.13
K = 8, Run (2,10,5): fitness => -7.13

#-6.89

real	0m0.984s
user	0m0.875s
sys	0m0.063s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.14
K = 8, Run (1,1,2): fitness => -7.05
K = 8, Run (1,1,3): fitness => -6.98
K = 8, Run (1,1,4): fitness => -6.95
K = 8, Run (1,1,5): fitness => -6.92

K = 8, Run (1,2,1): fitness => -7.02
K = 8, Run (1,2,2): fitness => -6.98
K = 8, Run (1,2,3): fitness => -6.95
K = 8, Run (1,2,4): fitness => -6.92
K = 8, Run (1,2,5): fitness => -6.92

K = 8, Run (1,3,1): fitness => -6.97
K = 8, Run (1,3,2): fitness => -6.93
K = 8, Run (1,3,3): fitness => -6.92
K = 8, Run (1,3,4): fitness => -6.92
K = 8, Run (1,3,5): fitness => -6.92

K = 8, Run (1,4,1): fitness => -6.92
K = 8, Run (1,4,2): fitness => -6.92
K = 8, Run (1,4,3): fitness => -6.92
K = 8, Run (1,4,4): fitness => -6.92
K = 8, Run (1,4,5): fitness => -6.92

K = 8, Run (1,5,1): fitness => -6.92
K = 8, Run (1,5,2): fitness => -6.92
K = 8, Run (1,5,3): fitness => -6.92
K = 8, Run (1,5,4): fitness => -6.92
K = 8, Run (1,5,5): fitness => -6.92

K = 8, Run (1,6,1): fitness => -6.92
K = 8, Run (1,6,2): fitness => -6.92
K = 8, Run (1,6,3): fitness => -6.92
K = 8, Run (1,6,4): fitness => -6.92
K = 8, Run (1,6,5): fitness => -6.92

K = 8, Run (1,7,1): fitness => -6.92
K = 8, Run (1,7,2): fitness => -6.92
K = 8, Run (1,7,3): fitness => -6.92
K = 8, Run (1,7,4): fitness => -6.92
K = 8, Run (1,7,5): fitness => -6.92

K = 8, Run (1,8,1): fitness => -6.92
K = 8, Run (1,8,2): fitness => -6.92
K = 8, Run (1,8,3): fitness => -6.92
K = 8, Run (1,8,4): fitness => -6.92
K = 8, Run (1,8,5): fitness => -6.92

K = 8, Run (1,9,1): fitness => -6.92
K = 8, Run (1,9,2): fitness => -6.92
K = 8, Run (1,9,3): fitness => -6.92
K = 8, Run (1,9,4): fitness => -6.92
K = 8, Run (1,9,5): fitness => -6.92

K = 8, Run (1,10,1): fitness => -6.92
K = 8, Run (1,10,2): fitness => -6.92
K = 8, Run (1,10,3): fitness => -6.92
K = 8, Run (1,10,4): fitness => -6.92
K = 8, Run (1,10,5): fitness => -6.92

K = 8, Run (2,1,1): fitness => -7.10
K = 8, Run (2,1,2): fitness => -7.02
K = 8, Run (2,1,3): fitness => -6.95
K = 8, Run (2,1,4): fitness => -6.90
K = 8, Run (2,1,5): fitness => -6.85

K = 8, Run (2,2,1): fitness => -7.02
K = 8, Run (2,2,2): fitness => -6.96
K = 8, Run (2,2,3): fitness => -6.90
K = 8, Run (2,2,4): fitness => -6.85
K = 8, Run (2,2,5): fitness => -6.85

K = 8, Run (2,3,1): fitness => -6.93
K = 8, Run (2,3,2): fitness => -6.87
K = 8, Run (2,3,3): fitness => -6.85
K = 8, Run (2,3,4): fitness => -6.85
K = 8, Run (2,3,5): fitness => -6.85

K = 8, Run (2,4,1): fitness => -6.85
K = 8, Run (2,4,2): fitness => -6.85
K = 8, Run (2,4,3): fitness => -6.85
K = 8, Run (2,4,4): fitness => -6.85
K = 8, Run (2,4,5): fitness => -6.85

K = 8, Run (2,5,1): fitness => -6.85
K = 8, Run (2,5,2): fitness => -6.85
K = 8, Run (2,5,3): fitness => -6.85
K = 8, Run (2,5,4): fitness => -6.85
K = 8, Run (2,5,5): fitness => -6.85

K = 8, Run (2,6,1): fitness => -6.85
K = 8, Run (2,6,2): fitness => -6.85
K = 8, Run (2,6,3): fitness => -6.85
K = 8, Run (2,6,4): fitness => -6.85
K = 8, Run (2,6,5): fitness => -6.85

K = 8, Run (2,7,1): fitness => -6.85
K = 8, Run (2,7,2): fitness => -6.85
K = 8, Run (2,7,3): fitness => -6.85
K = 8, Run (2,7,4): fitness => -6.85
K = 8, Run (2,7,5): fitness => -6.85

K = 8, Run (2,8,1): fitness => -6.85
K = 8, Run (2,8,2): fitness => -6.85
K = 8, Run (2,8,3): fitness => -6.85
K = 8, Run (2,8,4): fitness => -6.85
K = 8, Run (2,8,5): fitness => -6.85

K = 8, Run (2,9,1): fitness => -6.85
K = 8, Run (2,9,2): fitness => -6.85
K = 8, Run (2,9,3): fitness => -6.85
K = 8, Run (2,9,4): fitness => -6.85
K = 8, Run (2,9,5): fitness => -6.85

K = 8, Run (2,10,1): fitness => -6.85
K = 8, Run (2,10,2): fitness => -6.85
K = 8, Run (2,10,3): fitness => -6.85
K = 8, Run (2,10,4): fitness => -6.85
K = 8, Run (2,10,5): fitness => -6.85

#-6.85

real	0m0.984s
user	0m0.890s
sys	0m0.064s
K = 8, D = 0, C = 8
config1 =

  scalar structure containing the fields:

    ndisc = 0
    ncont =  8
    nintr = 0


K = 8, Run (1,1,1): fitness => -7.35
K = 8, Run (1,1,2): fitness => -7.27
K = 8, Run (1,1,3): fitness => -7.19
K = 8, Run (1,1,4): fitness => -7.15
